user_id,item_id,category_id,behavior_type,timestamp,datetime
1348,1154011,982926,pv,1511539187,2017-11-24 23:59:47
1348,287235,149192,pv,1511539216,2017-11-25 00:00:16
1348,1154011,982926,pv,1511539355,2017-11-25 00:02:35
1348,287235,149192,buy,1511539526,2017-11-25 00:05:26
1348,1154011,982926,buy,1511539526,2017-11-25 00:05:26
1348,2040015,982926,pv,1511541080,2017-11-25 00:31:20
1348,1657684,3582241,pv,1511591411,2017-11-25 14:30:11
1348,677642,4756105,pv,1511591577,2017-11-25 14:32:57
1348,4110014,4756105,pv,1511591605,2017-11-25 14:33:25
1348,1602504,4756105,pv,1511591829,2017-11-25 14:37:09
1348,4028458,4756105,pv,1511591852,2017-11-25 14:37:32
1348,1906063,4756105,pv,1511591886,2017-11-25 14:38:06
1348,4290520,4756105,pv,1511591891,2017-11-25 14:38:11
1348,3162581,4756105,pv,1511591917,2017-11-25 14:38:37
1348,2991417,4756105,pv,1511591934,2017-11-25 14:38:54
1348,3092644,4756105,pv,1511591969,2017-11-25 14:39:29
1348,917870,4756105,pv,1511592023,2017-11-25 14:40:23
1348,1629606,4756105,pv,1511592065,2017-11-25 14:41:05
1348,2561610,4756105,pv,1511592246,2017-11-25 14:44:06
1348,3840617,4756105,pv,1511592254,2017-11-25 14:44:14
1348,1482535,4756105,pv,1511592381,2017-11-25 14:46:21
1348,137474,4756105,pv,1511592426,2017-11-25 14:47:06
1348,4374565,64179,pv,1511592932,2017-11-25 14:55:32
1348,606151,4756105,pv,1511593057,2017-11-25 14:57:37
1348,1152533,672001,pv,1511609936,2017-11-25 19:38:56
1348,3185007,672001,pv,1511610002,2017-11-25 19:40:02
1348,929760,1819175,pv,1511610249,2017-11-25 19:44:09
1348,4321890,155172,cart,1511682255,2017-11-26 15:44:15
1348,1154011,982926,pv,1511764689,2017-11-27 14:38:09
1348,836499,982926,pv,1511764742,2017-11-27 14:39:02
1348,1154011,982926,pv,1511765883,2017-11-27 14:58:03
1348,506413,2520377,pv,1511765931,2017-11-27 14:58:51
1348,1154011,982926,pv,1511766355,2017-11-27 15:05:55
1348,3852111,5071267,pv,1511792141,2017-11-27 22:15:41
1348,835301,883960,pv,1511799327,2017-11-28 00:15:27
1348,3548347,338646,pv,1511980412,2017-11-30 02:33:32
1348,2121001,4936889,pv,1512018557,2017-11-30 13:09:17
1348,1154011,982926,pv,1512068131,2017-12-01 02:55:31
1348,287235,149192,pv,1512068142,2017-12-01 02:55:42
1348,2090670,1928278,pv,1512068168,2017-12-01 02:56:08
1348,1823685,2629787,pv,1512068288,2017-12-01 02:58:08
1348,3554868,4276787,pv,1512068500,2017-12-01 03:01:40
1348,2377942,3002561,pv,1512068674,2017-12-01 03:04:34
1348,2014857,5063620,pv,1512068711,2017-12-01 03:05:11
1348,4585452,4854759,pv,1512068872,2017-12-01 03:07:52
1348,1461669,2529187,pv,1512069318,2017-12-01 03:15:18
1348,2006655,4936889,pv,1512069330,2017-12-01 03:15:30
1348,4216449,235534,pv,1512069533,2017-12-01 03:18:53
1348,3018975,2733371,pv,1512069704,2017-12-01 03:21:44
1348,672078,1338377,pv,1512101211,2017-12-01 12:06:51
1348,3388578,1080785,pv,1512102405,2017-12-01 12:26:45
1348,1745652,149192,pv,1512102462,2017-12-01 12:27:42
1348,690889,2800021,fav,1512188422,2017-12-02 12:20:22
1348,3232271,3208959,pv,1512222229,2017-12-02 21:43:49
1348,2307467,3208959,pv,1512222308,2017-12-02 21:45:08
1348,3946424,3208959,pv,1512222367,2017-12-02 21:46:07
1348,2104163,3208959,pv,1512222429,2017-12-02 21:47:09
1348,2186395,4357323,pv,1512222553,2017-12-02 21:49:13
1348,828518,4357323,pv,1512222610,2017-12-02 21:50:10
1348,1360115,4357323,pv,1512222625,2017-12-02 21:50:25
1348,4773524,4357323,pv,1512222649,2017-12-02 21:50:49
1348,383634,4357323,pv,1512222659,2017-12-02 21:50:59
1348,3232271,3208959,pv,1512222773,2017-12-02 21:52:53
1348,3634334,4357323,pv,1512222831,2017-12-02 21:53:51
1348,3232271,3208959,pv,1512222834,2017-12-02 21:53:54
1348,3634334,4357323,pv,1512222850,2017-12-02 21:54:10
1348,305881,4357323,pv,1512222888,2017-12-02 21:54:48
1348,4046246,4357323,pv,1512222912,2017-12-02 21:55:12
1348,4915939,4357323,pv,1512222946,2017-12-02 21:55:46
1348,2047435,4357323,pv,1512223039,2017-12-02 21:57:19
1348,346869,4357323,pv,1512223126,2017-12-02 21:58:46
1348,4518271,3208959,pv,1512223206,2017-12-02 22:00:06
1348,346869,4357323,pv,1512223228,2017-12-02 22:00:28
1348,4152738,3208959,pv,1512223297,2017-12-02 22:01:37
1348,3232271,3208959,pv,1512223305,2017-12-02 22:01:45
1348,2307467,3208959,pv,1512223348,2017-12-02 22:02:28
1348,2689061,3208959,pv,1512223366,2017-12-02 22:02:46
1348,2104163,3208959,pv,1512223374,2017-12-02 22:02:54
1348,3916234,3208959,pv,1512223464,2017-12-02 22:04:24
1348,3232271,3208959,pv,1512223466,2017-12-02 22:04:26
1348,3916234,3208959,pv,1512223474,2017-12-02 22:04:34
1348,11584,3208959,pv,1512223533,2017-12-02 22:05:33
1348,3851904,3208959,pv,1512223637,2017-12-02 22:07:17
1348,3232271,3208959,pv,1512223638,2017-12-02 22:07:18
1348,3851904,3208959,fav,1512223638,2017-12-02 22:07:18
1348,4152738,3208959,pv,1512223749,2017-12-02 22:09:09
1348,346869,4357323,pv,1512223763,2017-12-02 22:09:23
1348,2307467,3208959,pv,1512223767,2017-12-02 22:09:27
1348,3916234,3208959,pv,1512223775,2017-12-02 22:09:35
1348,11584,3208959,pv,1512223799,2017-12-02 22:09:59
1348,2307467,3208959,pv,1512223818,2017-12-02 22:10:18
1348,3916234,3208959,pv,1512223822,2017-12-02 22:10:22
1348,11584,3208959,pv,1512223826,2017-12-02 22:10:26
1348,3851904,3208959,pv,1512223832,2017-12-02 22:10:32
1348,3916234,3208959,pv,1512223842,2017-12-02 22:10:42
1348,3851904,3208959,pv,1512223845,2017-12-02 22:10:45
1348,3916234,3208959,pv,1512223848,2017-12-02 22:10:48
1348,3851904,3208959,pv,1512223872,2017-12-02 22:11:12
1348,3916234,3208959,pv,1512223877,2017-12-02 22:11:17
1348,3851904,3208959,pv,1512223880,2017-12-02 22:11:20
1348,3916234,3208959,pv,1512223924,2017-12-02 22:12:04
1348,3851904,3208959,pv,1512223933,2017-12-02 22:12:13
1348,3916234,3208959,pv,1512223938,2017-12-02 22:12:18
1348,2418808,4181361,pv,1512223958,2017-12-02 22:12:38
1348,3916234,3208959,pv,1512223962,2017-12-02 22:12:42
1348,3851904,3208959,pv,1512223969,2017-12-02 22:12:49
1348,11584,3208959,pv,1512224021,2017-12-02 22:13:41
1348,2307467,3208959,pv,1512224057,2017-12-02 22:14:17
1348,3851904,3208959,pv,1512224071,2017-12-02 22:14:31
1348,3916234,3208959,pv,1512224171,2017-12-02 22:16:11
1348,3851904,3208959,pv,1512224320,2017-12-02 22:18:40
1348,516299,1320293,pv,1512224427,2017-12-02 22:20:27
1348,1887118,149192,pv,1512224479,2017-12-02 22:21:19
1348,3851904,3208959,pv,1512225837,2017-12-02 22:43:57
1348,936748,2465336,pv,1512227178,2017-12-02 23:06:18
1348,139276,2465336,pv,1512227246,2017-12-02 23:07:26
1348,2946844,2465336,pv,1512227303,2017-12-02 23:08:23
1348,3232271,3208959,pv,1512227353,2017-12-02 23:09:13
1348,73812,4801426,pv,1512228212,2017-12-02 23:23:32
1348,393100,2735466,pv,1512228236,2017-12-02 23:23:56
1348,3232271,3208959,pv,1512228711,2017-12-02 23:31:51
1348,373625,2920476,pv,1512229102,2017-12-02 23:38:22
1348,3851904,3208959,buy,1512230183,2017-12-02 23:56:23
1348,1505851,1379146,pv,1512230343,2017-12-02 23:59:03
1348,1151930,235534,fav,1512230611,2017-12-03 00:03:31
1348,3232271,3208959,pv,1512230613,2017-12-03 00:03:33
1348,1151930,235534,pv,1512230618,2017-12-03 00:03:38
